accession	protein_name	gene_names	reviewed	length	go	subcellular_location	keywords	ec
A0A0H3GUH1	histidine kinase (EC 2.7.13.3)	KPHS_42050	unreviewed	916	plasma membrane [GO:0005886]; ATP binding [GO:0005524]; phosphorelay sensor kinase activity [GO:0000155]	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000256|ARBA:ARBA00004429}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004429}.	ATP-binding;Cell inner membrane;Cell membrane;Coiled coil;Kinase;Membrane;Nucleotide-binding;Phosphoprotein;Reference proteome;Transferase;Transmembrane;Transmembrane helix;Two-component regulatory system	2.7.13.3
A0A0H3GVM1	Transcriptional regulatory protein RcsB	rcsB KPHS_37040	unreviewed	216	DNA binding [GO:0003677]; phosphorelay signal transduction system [GO:0000160]; regulation of DNA-templated transcription [GO:0006355]		DNA-binding;Phosphoprotein;Reference proteome;Transcription;Transcription regulation;Two-component regulatory system	
A0A0H3GWN4	Sulfurtransferase TusD (EC 2.8.1.-) (tRNA 2-thiouridine synthesizing protein D)	tusD KPHS_48800	unreviewed	128	sulfurtransferase complex [GO:1990228]; sulfur carrier activity [GO:0097163]; sulfurtransferase activity [GO:0016783]; tRNA wobble position uridine thiolation [GO:0002143]	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000256|ARBA:ARBA00004496, ECO:0000256|HAMAP-Rule:MF_00390}.	Cytoplasm;Reference proteome;Transferase;tRNA processing	2.8.1.-
A0A0H3GWZ6	Sulfur carrier protein TusA (Sulfur mediator TusA) (Sulfur transfer protein TusA) (tRNA 2-thiouridine synthesizing protein A)	tusA KPHS_49900	unreviewed	81	cytoplasm [GO:0005737]; sulfur carrier activity [GO:0097163]; tRNA wobble position uridine thiolation [GO:0002143]	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000256|HAMAP-Rule:MF_00413}.	Cytoplasm;Reference proteome;tRNA processing	
A0A0H3H1R7	Ribosome maturation factor RimM	rimM KPHS_40460	unreviewed	152	cytoplasm [GO:0005737]; ribosome [GO:0005840]; ribosome binding [GO:0043022]; ribosomal small subunit biogenesis [GO:0042274]; rRNA processing [GO:0006364]	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000256|HAMAP-Rule:MF_00014}.	Chaperone;Cytoplasm;Reference proteome;Ribosome biogenesis;rRNA processing	
A0A0H3GP18	Transcriptional repressor for phenylacetic acid degradation	KPHS_23800	unreviewed	308	DNA-templated transcription [GO:0006351]		Reference proteome	
A0A0H3GXK5	Periplasmic binding protein/LacI transcriptional regulator	KPHS_26760	unreviewed	340	DNA-binding transcription factor activity [GO:0003700]; transcription cis-regulatory region binding [GO:0000976]		DNA-binding;Reference proteome;Transcription;Transcription regulation	
A0A0H3GH21	ATP-binding component of phosphonate transport	KPHS_03370	unreviewed	226	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]		ATP-binding;Nucleotide-binding;Reference proteome	
A0A0H3GH65	Fimbrial biogenesis outer membrane usher protein	KPHS_03870	unreviewed	774	cell outer membrane [GO:0009279]; fimbrial usher porin activity [GO:0015473]; pilus assembly [GO:0009297]	SUBCELLULAR LOCATION: Cell outer membrane {ECO:0000256|ARBA:ARBA00004571, ECO:0000256|RuleBase:RU003884}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004571, ECO:0000256|RuleBase:RU003884}.	Cell outer membrane;Fimbrium biogenesis;Membrane;Reference proteome;Signal;Transmembrane;Transmembrane beta strand;Transport	
A0A0H3GLK8	High frequency lysogenization protein HflD homolog	hflD KPHS_20170	unreviewed	213	cytoplasm [GO:0005737]; plasma membrane [GO:0005886]	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000256|HAMAP-Rule:MF_00695}. Cell inner membrane {ECO:0000256|HAMAP-Rule:MF_00695}; Peripheral membrane protein {ECO:0000256|HAMAP-Rule:MF_00695}; Cytoplasmic side {ECO:0000256|HAMAP-Rule:MF_00695}.	Cell inner membrane;Cell membrane;Cytoplasm;Membrane;Reference proteome	
A0A0H3GLT8	Sugar ABC transporter	KPHS_05330	unreviewed	357	ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing [GO:0055052]; ABC-type transporter activity [GO:0140359]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; carbohydrate transport [GO:0008643]		ATP-binding;Nucleotide-binding;Reference proteome;Transport	
A0A0H3GMN8	DNA-binding transcriptional repressor MalI	KPHS_24170	unreviewed	342	DNA-binding transcription factor activity [GO:0003700]; transcription cis-regulatory region binding [GO:0000976]		DNA-binding;Reference proteome;Repressor;Transcription;Transcription regulation	
A0A0H3GNH3	Ferrichrome outer membrane transporter	KPHS_08990	unreviewed	709	cell outer membrane [GO:0009279]; siderophore uptake transmembrane transporter activity [GO:0015344]; signaling receptor activity [GO:0038023]; siderophore transport [GO:0015891]	SUBCELLULAR LOCATION: Cell outer membrane {ECO:0000256|ARBA:ARBA00004571, ECO:0000256|PROSITE-ProRule:PRU01360}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004571, ECO:0000256|PROSITE-ProRule:PRU01360}.	Cell outer membrane;Ion transport;Iron;Iron transport;Membrane;Receptor;Reference proteome;Signal;TonB box;Transmembrane;Transmembrane beta strand;Transport	
A0A0H3GRQ3	DEOR-type transcriptional regulator	KPHS_21890	unreviewed	249	DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]		DNA-binding;Reference proteome;Transcription;Transcription regulation	
A0A0H3GUY3	Fimbrial usher protein	KPHS_43450	unreviewed	828	cell outer membrane [GO:0009279]; fimbrial usher porin activity [GO:0015473]; pilus assembly [GO:0009297]	SUBCELLULAR LOCATION: Cell outer membrane {ECO:0000256|ARBA:ARBA00004571, ECO:0000256|RuleBase:RU003884}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004571, ECO:0000256|RuleBase:RU003884}.	Cell outer membrane;Fimbrium biogenesis;Membrane;Reference proteome;Signal;Transmembrane;Transmembrane beta strand;Transport	
A0A0H3GW21	Galactitol-specific PTS system component IIA	KPHS_46850	unreviewed	155	protein kinase activator activity [GO:0030295]		Reference proteome	
A0A0H3GX65	Transcriptional regulator	KPHS_50700	unreviewed	338	DNA-binding transcription factor activity [GO:0003700]; transcription cis-regulatory region binding [GO:0000976]		DNA-binding;Reference proteome;Transcription;Transcription regulation	
A0A0H3GYX7	Phosphotransferase system, lactose/cellobiose-specific IIB subunit	KPHS_52240	unreviewed	104	kinase activity [GO:0016301]; protein-N(PI)-phosphohistidine-sugar phosphotransferase activity [GO:0008982]; phosphoenolpyruvate-dependent sugar phosphotransferase system [GO:0009401]		Kinase;Phosphoprotein;Phosphotransferase system;Reference proteome;Sugar transport;Transferase;Transport	
A0A0H3H2L8	Flavodoxin	KPHS_43910	unreviewed	173	electron transfer activity [GO:0009055]; FMN binding [GO:0010181]		Electron transport;Flavoprotein;FMN;Reference proteome;Transport	
A0A0H3H4N5	LysR-family transcriptional regulator	KPHS_52010	unreviewed	323	DNA-binding transcription factor activity [GO:0003700]; sequence-specific DNA binding [GO:0043565]; DNA-templated transcription [GO:0006351]		DNA-binding;Reference proteome;Transcription;Transcription regulation	
A0A0H3GIL2	Amino acid exporter (Threonine)	KPHS_06150	unreviewed	220	plasma membrane [GO:0005886]; amino acid transmembrane transporter activity [GO:0015171]	SUBCELLULAR LOCATION: Cell membrane {ECO:0000256|ARBA:ARBA00004651}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004651}.	Cell membrane;Membrane;Reference proteome;Transmembrane;Transmembrane helix	
A0A0H3GJJ0	Outer membrane protein	KPHS_13020	unreviewed	811	cell outer membrane [GO:0009279]; fimbrial usher porin activity [GO:0015473]; pilus assembly [GO:0009297]	SUBCELLULAR LOCATION: Cell outer membrane {ECO:0000256|ARBA:ARBA00004571}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004571}.	Cell outer membrane;Membrane;Reference proteome;Signal;Transmembrane;Transmembrane beta strand;Transport	
A0A0H3GLD5	HTH tetR-type domain-containing protein	KPHS_19370	unreviewed	197	DNA-binding transcription factor activity [GO:0003700]; transcription cis-regulatory region binding [GO:0000976]		DNA-binding;Reference proteome;Transcription;Transcription regulation	
A0A0H3GQX2	ATPase	KPHS_05210	unreviewed	500			Reference proteome	
A0A0H3GQX5	DNA-binding transcriptional regulator GalS	KPHS_36520	unreviewed	340	DNA-binding transcription factor activity [GO:0003700]; transcription cis-regulatory region binding [GO:0000976]		DNA-binding;Reference proteome;Repressor;Transcription;Transcription regulation	
A0A0H3GR09	Cytochrome c biogenesis protein CcmA	KPHS_30600	unreviewed	207	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; transmembrane transporter activity [GO:0022857]; cytochrome complex assembly [GO:0017004]		ATP-binding;Cytochrome c-type biogenesis;Membrane;Nucleotide-binding;Reference proteome;Translocase;Transport	
A0A0H3GRL8	Arabinose operon regulatory protein	KPHS_07760	unreviewed	281	cytoplasm [GO:0005737]; DNA-binding transcription factor activity [GO:0003700]; sequence-specific DNA binding [GO:0043565]; arabinose catabolic process [GO:0019568]	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000256|ARBA:ARBA00004496}.	Activator;Arabinose catabolism;Carbohydrate metabolism;Cytoplasm;DNA-binding;Reference proteome;Repressor;Transcription;Transcription regulation	
A0A0H3GRV9	Bacteriophage protein	KPHS_22640	unreviewed	466			Reference proteome	
A0A0H3GUH7	Multidrug resistance protein	KPHS_29630	unreviewed	298	membrane [GO:0016020]; transmembrane transporter activity [GO:0022857]	SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004167}; Single-pass membrane protein {ECO:0000256|ARBA:ARBA00004167}.	Coiled coil;Membrane;Reference proteome;Transmembrane;Transmembrane helix	
A0A0H3GWF7	Negative regulator	KPHS_38230	unreviewed	72			Reference proteome	
A0A0H3GWM7	Phenylacetic acid degradation protein	KPHS_23710	unreviewed	251	cytosol [GO:0005829]; phenylacetate catabolic process [GO:0010124]		Reference proteome	
A0A0H3GXL5	Permease IIC component	KPHS_52250	unreviewed	440	plasma membrane [GO:0005886]; protein-N(PI)-phosphohistidine-sugar phosphotransferase activity [GO:0008982]; phosphoenolpyruvate-dependent sugar phosphotransferase system [GO:0009401]	SUBCELLULAR LOCATION: Cell membrane {ECO:0000256|ARBA:ARBA00004651}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004651}.	Cell membrane;Membrane;Reference proteome;Sugar transport;Transmembrane;Transmembrane helix;Transport	
A0A0H3GYS3	Transcriptional repressor FrmR	KPHS_29310	unreviewed	91	DNA binding [GO:0003677]; metal ion binding [GO:0046872]; negative regulation of DNA-templated transcription [GO:0045892]		Reference proteome	
A0A0H3H1Z2	Iron transporter: fur regulated	KPHS_41560	unreviewed	284	ATP-binding cassette (ABC) transporter complex [GO:0043190]; transmembrane transporter activity [GO:0022857]; cellular response to iron ion [GO:0071281]; iron ion transport [GO:0006826]; response to zinc ion [GO:0010043]	SUBCELLULAR LOCATION: Cell membrane {ECO:0000256|RuleBase:RU003943}; Multi-pass membrane protein {ECO:0000256|RuleBase:RU003943}. Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.	Ion transport;Iron;Iron transport;Membrane;Reference proteome;Transmembrane;Transmembrane helix;Transport	
A0A0H3H2D2	Transcriptional regulator	KPHS_43160	unreviewed	333	DNA-binding transcription factor activity [GO:0003700]; transcription cis-regulatory region binding [GO:0000976]		DNA-binding;Reference proteome;Transcription;Transcription regulation	
A0A0H3H3C5	Integral membrane protein	KPHS_46560	unreviewed	220	plasma membrane [GO:0005886]	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000256|RuleBase:RU367016}; Multi-pass membrane protein {ECO:0000256|RuleBase:RU367016}. Cell membrane {ECO:0000256|ARBA:ARBA00004651}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004651}.	Cell inner membrane;Cell membrane;Membrane;Reference proteome;Transmembrane;Transmembrane helix	
A0A0H3GMI7	Hydroxylase for synthesis of 2-methylthio-cis-ribozeatin in tRNA	KPHS_05140	unreviewed	254	tRNA 2-(methylsulfanyl)-N(6)-isopentenyladenosine(37) hydroxylase activity [GO:0045301]; tRNA modification [GO:0006400]		Reference proteome	
A0A0H3GMM2	Beta-1,4-xylosidase, XynB	KPHS_05640	unreviewed	559	hydrolase activity, hydrolyzing O-glycosyl compounds [GO:0004553]; carbohydrate metabolic process [GO:0005975]		Glycosidase;Hydrolase;Reference proteome	
A0A0H3GN82	Lipoprotein	KPHS_10180	unreviewed	188	cysteine-type peptidase activity [GO:0008234]; proteolysis [GO:0006508]		Hydrolase;Lipoprotein;Protease;Reference proteome;Signal;Thiol protease	
A0A0H3GRC7	UPF0391 membrane protein KPHS_06860	KPHS_06860	unreviewed	53	plasma membrane [GO:0005886]	SUBCELLULAR LOCATION: Cell membrane {ECO:0000256|HAMAP-Rule:MF_01361}; Single-pass membrane protein {ECO:0000256|HAMAP-Rule:MF_01361}.	Cell membrane;Membrane;Reference proteome;Transmembrane;Transmembrane helix	
A0A0H3GRH6	HTH-type transcriptional regulator	KPHS_07360	unreviewed	309	DNA-binding transcription factor activity [GO:0003700]; sequence-specific DNA binding [GO:0043565]; DNA-templated transcription [GO:0006351]		DNA-binding;Reference proteome;Transcription;Transcription regulation	
A0A0H3GS17	Glycine transporter domain-containing protein	KPHS_09060	unreviewed	207	plasma membrane [GO:0005886]	SUBCELLULAR LOCATION: Cell membrane {ECO:0000256|ARBA:ARBA00004651}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004651}.	Cell membrane;Membrane;Reference proteome;Transmembrane;Transmembrane helix	
A0A0H3GUZ0	AraC family transcriptional regulator	KPHS_51920	unreviewed	317	DNA-binding transcription factor activity [GO:0003700]; sequence-specific DNA binding [GO:0043565]		Reference proteome;Transcription;Transcription regulation	
A0A0H3GXJ1	D-and L-methionine transporter ATP-binding component	KPHS_42230	unreviewed	340	plasma membrane [GO:0005886]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; amino acid transport [GO:0006865]	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000256|ARBA:ARBA00004417}; Peripheral membrane protein {ECO:0000256|ARBA:ARBA00004417}.	Amino-acid transport;ATP-binding;Cell membrane;Membrane;Nucleotide-binding;Reference proteome;Translocase;Transport	
A0A0H3GXR7	Dehydrogenase	KPHS_45740	unreviewed	140			Reference proteome	
A0A0H3GXX7	Cytochrome	KPHS_46640	unreviewed	122	plasma membrane [GO:0005886]		Membrane;Reference proteome;Transmembrane;Transmembrane helix	
A0A0H3GZ00	PTS system alpha-glucoside-specific EIICB component	KPHS_52590	unreviewed	540	plasma membrane [GO:0005886]; kinase activity [GO:0016301]; protein-N(PI)-phosphohistidine-sugar phosphotransferase activity [GO:0008982]; protein-phosphocysteine-sugar phosphotransferase activity [GO:0090563]; phosphoenolpyruvate-dependent sugar phosphotransferase system [GO:0009401]	SUBCELLULAR LOCATION: Cell membrane {ECO:0000256|ARBA:ARBA00004651}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004651}.	Cell membrane;Kinase;Membrane;Phosphotransferase system;Reference proteome;Sugar transport;Transferase;Transmembrane;Transmembrane helix;Transport	
A0A0H3H4N0	Lipoprotein	KPHS_51960	unreviewed	269	plasma membrane [GO:0005886]; methionine transport [GO:0015821]	SUBCELLULAR LOCATION: Cell membrane {ECO:0000256|ARBA:ARBA00004193}; Lipid-anchor {ECO:0000256|ARBA:ARBA00004193}.	Cell membrane;Lipoprotein;Membrane;Palmitate;Reference proteome;Signal	
A0A0H3GHR5	Ribose ABC superfamily ATP binding cassette transporter, permease protein	KPHS_03300	unreviewed	332	plasma membrane [GO:0005886]; transmembrane transporter activity [GO:0022857]	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000256|ARBA:ARBA00004429}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004429}.	Cell membrane;Membrane;Reference proteome;Transmembrane;Transmembrane helix	
A0A0H3GI97	Metalloprotease PmbA	KPHS_04750	unreviewed	446	cytosol [GO:0005829]; metallopeptidase activity [GO:0008237]; proteolysis [GO:0006508]	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000256|ARBA:ARBA00004496}.	Cytoplasm;Hydrolase;Metalloprotease;Protease;Reference proteome	
A0A0H3GLH5	Carboxylase	KPHS_15550	unreviewed	218	ATP binding [GO:0005524]; hydrolase activity [GO:0016787]		ATP-binding;Hydrolase;Nucleotide-binding;Reference proteome	
A0A0H3GNS4	Uncharacterized protein	KPHS_27970	unreviewed	152			Reference proteome;Signal	
A0A0H3GP97	Terminase	KPHS_12640	unreviewed	558			Reference proteome	
A0A0H3GRD7	DUF2534 family protein	KPHS_20490	unreviewed	87			Membrane;Reference proteome;Transmembrane;Transmembrane helix	
A0A0H3GRR1	Phage shock protein PspA	KPHS_22090	unreviewed	222	cytosol [GO:0005829]; phage shock [GO:0009271]		Coiled coil;Reference proteome	
A0A0H3GRZ3	Rhs element Vgr protein	KPHS_23040	unreviewed	789			Reference proteome	
A0A0H3GUE9	LysR-family transcriptional regulator	KPHS_41750	unreviewed	295	DNA-binding transcription factor activity [GO:0003700]; sequence-specific DNA binding [GO:0043565]; DNA-templated transcription [GO:0006351]		DNA-binding;Membrane;Reference proteome;Transcription;Transcription regulation;Transmembrane;Transmembrane helix	
A0A0H3GW82	Phosphocarrier protein NPr (Nitrogen-related HPr)	KPHS_47550	unreviewed	90	cytoplasm [GO:0005737]; phosphoenolpyruvate-dependent sugar phosphotransferase system [GO:0009401]	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000256|ARBA:ARBA00004496}.	Cytoplasm;Phosphotransferase system;Reference proteome	
A0A0H3GIQ6	Phosphoheptose isomerase (EC 5.3.1.28) (Sedoheptulose 7-phosphate isomerase)	gmhA KPHS_09620	unreviewed	193	cytoplasm [GO:0005737]; carbohydrate derivative binding [GO:0097367]; D-sedoheptulose 7-phosphate isomerase activity [GO:0008968]; zinc ion binding [GO:0008270]; D-glycero-D-manno-heptose 7-phosphate biosynthetic process [GO:2001061]; lipopolysaccharide core region biosynthetic process [GO:0009244]	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000256|ARBA:ARBA00004496, ECO:0000256|HAMAP-Rule:MF_00067}.	Carbohydrate metabolism;Cytoplasm;Isomerase;Metal-binding;Reference proteome;Zinc	5.3.1.28
A0A0H3GV71	Histidine biosynthesis bifunctional protein HisB [Includes: Histidinol-phosphatase (EC 3.1.3.15); Imidazoleglycerol-phosphate dehydratase (IGPD) (EC 4.2.1.19)]	hisB KPHS_35390	unreviewed	355	cytoplasm [GO:0005737]; histidinol-phosphatase activity [GO:0004401]; imidazoleglycerol-phosphate dehydratase activity [GO:0004424]; metal ion binding [GO:0046872]; L-histidine biosynthetic process [GO:0000105]	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000256|HAMAP-Rule:MF_01022}.	Amino-acid biosynthesis;Cytoplasm;Histidine biosynthesis;Hydrolase;Lyase;Magnesium;Metal-binding;Multifunctional enzyme;Reference proteome;Zinc	3.1.3.15; 4.2.1.19
A0A0H3GKH2	3-octaprenyl-4-hydroxybenzoate carboxy-lyase (EC 4.1.1.98) (Polyprenyl p-hydroxybenzoate decarboxylase)	ubiD KPHS_01830	unreviewed	491	cytosol [GO:0005829]; plasma membrane [GO:0005886]; 4-hydroxy-3-polyprenylbenzoate decarboxylase activity [GO:0008694]; metal ion binding [GO:0046872]; ubiquinone biosynthetic process [GO:0006744]	SUBCELLULAR LOCATION: Cell membrane {ECO:0000256|HAMAP-Rule:MF_01636}; Peripheral membrane protein {ECO:0000256|HAMAP-Rule:MF_01636}.	Cell membrane;Decarboxylase;Flavoprotein;FMN;Lyase;Manganese;Membrane;Metal-binding;Reference proteome;Ubiquinone biosynthesis	4.1.1.98
A0A0H3GV11	N-acetylmuramic acid 6-phosphate etherase (MurNAc-6-P etherase) (EC 4.2.1.126) (N-acetylmuramic acid 6-phosphate hydrolase) (N-acetylmuramic acid 6-phosphate lyase)	murQ KPHS_52120	unreviewed	300	carbohydrate derivative binding [GO:0097367]; carbon-oxygen lyase activity [GO:0016835]; ether hydrolase activity [GO:0016803]; 1,6-anhydro-N-acetyl-beta-muramic acid catabolic process [GO:0097175]; amino sugar catabolic process [GO:0046348]; N-acetylmuramic acid catabolic process [GO:0097173]; peptidoglycan turnover [GO:0009254]		Carbohydrate metabolism;Lyase;Reference proteome	4.2.1.126
A0A0H3GZF1	Penicillin-binding protein 1A (EC 2.4.99.28) (EC 3.4.16.4)	KPHS_49180	unreviewed	809	outer membrane-bounded periplasmic space [GO:0030288]; plasma membrane [GO:0005886]; penicillin binding [GO:0008658]; peptidoglycan glycosyltransferase activity [GO:0008955]; serine-type D-Ala-D-Ala carboxypeptidase activity [GO:0009002]; cell wall organization [GO:0071555]; peptidoglycan biosynthetic process [GO:0009252]; proteolysis [GO:0006508]; regulation of cell shape [GO:0008360]; response to antibiotic [GO:0046677]	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000256|ARBA:ARBA00004249}; Single-pass type II membrane protein {ECO:0000256|ARBA:ARBA00004249}.	Antibiotic resistance;Carboxypeptidase;Cell inner membrane;Cell membrane;Cell shape;Cell wall biogenesis/degradation;Glycosyltransferase;Hydrolase;Membrane;Multifunctional enzyme;Peptidoglycan synthesis;Protease;Reference proteome;Signal-anchor;Transferase;Transmembrane;Transmembrane helix	2.4.99.28; 3.4.16.4
A0A0H3GGG0	Dihydroxy-acid dehydratase (DAD) (EC 4.2.1.9)	ilvD KPHS_01170	unreviewed	616	cytosol [GO:0005829]; 2 iron, 2 sulfur cluster binding [GO:0051537]; dihydroxy-acid dehydratase activity [GO:0004160]; magnesium ion binding [GO:0000287]; isoleucine biosynthetic process [GO:0009097]; L-valine biosynthetic process [GO:0009099]		2Fe-2S;Amino-acid biosynthesis;Branched-chain amino acid biosynthesis;Iron;Iron-sulfur;Lyase;Magnesium;Metal-binding;Reference proteome	4.2.1.9
A0A0H3GKB0	L-threonine dehydratase (EC 4.3.1.19) (Threonine deaminase)	ilvA KPHS_01180	unreviewed	495	L-serine ammonia-lyase activity [GO:0003941]; pyridoxal phosphate binding [GO:0030170]; threonine deaminase activity [GO:0004794]; isoleucine biosynthetic process [GO:0009097]; L-serine catabolic process [GO:0006565]; L-threonine catabolic process [GO:0006567]		Amino-acid biosynthesis;Branched-chain amino acid biosynthesis;Isoleucine biosynthesis;Lyase;Pyridoxal phosphate;Reference proteome;Repeat	4.3.1.19
A0A0H3GTG3	Glycerol-3-phosphate acyltransferase (Acyl-PO4 G3P acyltransferase) (Acyl-phosphate--glycerol-3-phosphate acyltransferase) (G3P acyltransferase) (GPAT) (EC 2.3.1.275) (Lysophosphatidic acid synthase) (LPA synthase)	plsY KPHS_45920	unreviewed	205	plasma membrane [GO:0005886]; acyl-phosphate glycerol-3-phosphate acyltransferase activity [GO:0043772]; phospholipid biosynthetic process [GO:0008654]	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000256|HAMAP-Rule:MF_01043}; Multi-pass membrane protein {ECO:0000256|HAMAP-Rule:MF_01043}.	Cell inner membrane;Cell membrane;Lipid biosynthesis;Lipid metabolism;Membrane;Phospholipid biosynthesis;Phospholipid metabolism;Reference proteome;Transferase;Transmembrane;Transmembrane helix	2.3.1.275
A0A0H3GVW8	DNA ligase (EC 6.5.1.2) (Polydeoxyribonucleotide synthase [NAD(+)])	ligA KPHS_38240	unreviewed	671	cytosol [GO:0005829]; DNA binding [GO:0003677]; DNA ligase (NAD+) activity [GO:0003911]; metal ion binding [GO:0046872]; DNA repair [GO:0006281]; DNA replication [GO:0006260]		DNA damage;DNA repair;DNA replication;Ligase;Magnesium;Manganese;Metal-binding;NAD;Reference proteome;Zinc	6.5.1.2
A0A0H3H486	Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase (EC 2.4.2.53) (Undecaprenyl-phosphate Ara4FN transferase) (Ara4FN transferase)	arnC KPHS_50010	unreviewed	327	plasma membrane [GO:0005886]; phosphotransferase activity, for other substituted phosphate groups [GO:0016780]; undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase activity [GO:0099621]; 4-amino-4-deoxy-alpha-L-arabinopyranosyl undecaprenyl phosphate biosynthetic process [GO:0036108]; lipid A biosynthetic process [GO:0009245]; lipopolysaccharide biosynthetic process [GO:0009103]; response to antibiotic [GO:0046677]	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000256|ARBA:ARBA00004429, ECO:0000256|HAMAP-Rule:MF_01164}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004429, ECO:0000256|HAMAP-Rule:MF_01164}.	Antibiotic resistance;Cell inner membrane;Cell membrane;Glycosyltransferase;Lipid A biosynthesis;Lipid biosynthesis;Lipid metabolism;Lipopolysaccharide biosynthesis;Membrane;Reference proteome;Transferase;Transmembrane;Transmembrane helix	2.4.2.53
A0A0H3GWY2	High-affinity branched-chain amino acid transport ATP-binding protein LivG (LIV-I protein G)	KPHS_49700	unreviewed	255	plasma membrane [GO:0005886]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; L-isoleucine transmembrane transporter activity [GO:0015188]; L-phenylalanine transmembrane transporter activity [GO:0015192]; L-valine transmembrane transporter activity [GO:0005304]; D-alanine transmembrane transport [GO:0042941]; L-alanine transport [GO:0015808]; L-isoleucine import across plasma membrane [GO:1903806]; L-valine import across plasma membrane [GO:1903805]		Amino-acid transport;ATP-binding;Nucleotide-binding;Reference proteome;Transport	
A0A0H3GYI6	sn-glycerol-3-phosphate transport system permease protein UgpE	ugpE KPHS_49640	unreviewed	281	plasma membrane [GO:0005886]; transmembrane transport [GO:0055085]	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000256|ARBA:ARBA00004429, ECO:0000256|RuleBase:RU363056}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004429, ECO:0000256|RuleBase:RU363056}. Cell membrane {ECO:0000256|RuleBase:RU363032}; Multi-pass membrane protein {ECO:0000256|RuleBase:RU363032}.	Cell inner membrane;Cell membrane;Membrane;Reference proteome;Transmembrane;Transmembrane helix;Transport	
A0A0H3GZD3	protein adenylyltransferase (EC 2.7.7.108)	KPHS_48980	unreviewed	200	AMPylase activity [GO:0070733]; ATP binding [GO:0005524]; regulation of cell division [GO:0051302]		ATP-binding;Nucleotide-binding;Nucleotidyltransferase;Reference proteome;Transferase	2.7.7.108
A0A0H3GZH9	Thymidine kinase (EC 2.7.1.21)	KPHS_31960	unreviewed	175	cytosol [GO:0005829]; ATP binding [GO:0005524]; thymidine kinase activity [GO:0004797]; DNA biosynthetic process [GO:0071897]; thymidine metabolic process [GO:0046104]		ATP-binding;DNA synthesis;Kinase;Nucleotide-binding;Reference proteome;Transferase	2.7.1.21
A0A0H3H2M4	N(4)-acetylcytidine amidohydrolase (ac4C amidohydrolase) (EC 3.5.1.135)	KPHS_43960	unreviewed	103	cytosol [GO:0005829]; hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amidines [GO:0016813]		Hydrolase;Reference proteome	3.5.1.135
A0A0H3H3P2	p-hydroxybenzoic acid efflux pump subunit AaeA (pHBA efflux pump protein A)	aaeA KPHS_47810	unreviewed	310	plasma membrane [GO:0005886]; transmembrane transporter activity [GO:0022857]	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000256|HAMAP-Rule:MF_01544}; Single-pass membrane protein {ECO:0000256|HAMAP-Rule:MF_01544}.	Cell inner membrane;Cell membrane;Membrane;Reference proteome;Transmembrane;Transmembrane helix;Transport	
